Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
3117,VENEZOLANA INTERNATIONAL DE AVIACION (VI,VIASA,Airlines,Yes,"'3117':{'combined description':'VENEZOLANA INTERNATIONAL DE AVIACION (VI', 'USDA description':'VIASA','IRS Description':'Airlines', 'reportable':'Yes'},"
3118,VALLEY AIRLINES,VALLEY AIRLINES,Airlines,Yes,"'3118':{'combined description':'VALLEY AIRLINES', 'USDA description':'VALLEY AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3119,airlines,,Airlines,Yes,"'3119':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3120,airlines,,Airlines,Yes,"'3120':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3121,airlines,,Airlines,Yes,"'3121':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3122,airlines,,Airlines,Yes,"'3122':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3123,airlines,,Airlines,Yes,"'3123':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3124,airlines,,Airlines,Yes,"'3124':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3125,TAN AIRLINES,TAN,Airlines,Yes,"'3125':{'combined description':'TAN AIRLINES', 'USDA description':'TAN','IRS Description':'Airlines', 'reportable':'Yes'},"
3126,TALAIR,TALAIR,Airlines,Yes,"'3126':{'combined description':'TALAIR', 'USDA description':'TALAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3127,TACA INTERNATIONAL,TACA INTERNATIONAL,Airlines,Yes,"'3127':{'combined description':'TACA INTERNATIONAL', 'USDA description':'TACA INTERNATIONAL','IRS Description':'Airlines', 'reportable':'Yes'},"
3128,airlines,,Airlines,Yes,"'3128':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3129,SURINAM AIRWAYS,SURINAM AIRWAYS,Airlines,Yes,"'3129':{'combined description':'SURINAM AIRWAYS', 'USDA description':'SURINAM AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3130,SUNWORLD INTERNATIONAL AIR,SUN WORLD INTERNATIONAL,Airlines,Yes,"'3130':{'combined description':'SUNWORLD INTERNATIONAL AIR', 'USDA description':'SUN WORLD INTERNATIONAL','IRS Description':'Airlines', 'reportable':'Yes'},"
3131,VLM AIRLINES,,Airlines,Yes,"'3131':{'combined description':'VLM AIRLINES', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3132,FRONTIER AIRLINES - FRONTIER,,Airlines,Yes,"'3132':{'combined description':'FRONTIER AIRLINES - FRONTIER', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3133,SUNBELT AIRLINES,SUNBELT AIRLINES,Airlines,Yes,"'3133':{'combined description':'SUNBELT AIRLINES', 'USDA description':'SUNBELT AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3134,airlines,,Airlines,Yes,"'3134':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3135,SUDAN AIRWAYS,SUDAN AIRWAYS,Airlines,Yes,"'3135':{'combined description':'SUDAN AIRWAYS', 'USDA description':'SUDAN AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3136,QATAR AIRWAYS,,Airlines,Yes,"'3136':{'combined description':'QATAR AIRWAYS', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3137,SINGLETION AIR,SINGLETON,Airlines,Yes,"'3137':{'combined description':'SINGLETION AIR', 'USDA description':'SINGLETON','IRS Description':'Airlines', 'reportable':'Yes'},"
3138,SIMMONS AIRLINES,SIMMONS AIRLINES,Airlines,Yes,"'3138':{'combined description':'SIMMONS AIRLINES', 'USDA description':'SIMMONS AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3139,airlines,,Airlines,Yes,"'3139':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3140,airlines,,Airlines,Yes,"'3140':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3141,SEAIR ALASKA,,Airlines,Yes,"'3141':{'combined description':'SEAIR ALASKA', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3142,airlines,,Airlines,Yes,"'3142':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3143,SCENIC AIRLINES,SCENIC AIRLINES,Airlines,Yes,"'3143':{'combined description':'SCENIC AIRLINES', 'USDA description':'SCENIC AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3144,VIRGIN ATLANTIC,VIRGIN ATLANTIC,Airlines,Yes,"'3144':{'combined description':'VIRGIN ATLANTIC', 'USDA description':'VIRGIN ATLANTIC','IRS Description':'Airlines', 'reportable':'Yes'},"
3145,SAN JUAN AIRLINES,SAN JUAN AIRLINES,Airlines,Yes,"'3145':{'combined description':'SAN JUAN AIRLINES', 'USDA description':'SAN JUAN AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3146,LUXAIR,LUXAIR,Airlines,Yes,"'3146':{'combined description':'LUXAIR', 'USDA description':'LUXAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3147,airlines,,Airlines,Yes,"'3147':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3148,"AIR LITTORAL, S.A.",,Airlines,Yes,"'3148':{'combined description':'AIR LITTORAL, S.A.', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3149,airlines,,Airlines,Yes,"'3149':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3150,airlines,,Airlines,Yes,"'3150':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3151,AIR ZAIRE,AIR ZAIRE,Airlines,Yes,"'3151':{'combined description':'AIR ZAIRE', 'USDA description':'AIR ZAIRE','IRS Description':'Airlines', 'reportable':'Yes'},"
3152,airlines,,Airlines,Yes,"'3152':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3153,airlines,,Airlines,Yes,"'3153':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3154,PRINCEVILLE,PRINCEVILLE,Airlines,Yes,"'3154':{'combined description':'PRINCEVILLE', 'USDA description':'PRINCEVILLE','IRS Description':'Airlines', 'reportable':'Yes'},"
3155,airlines,,Airlines,Yes,"'3155':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3156,"GO FLY, LTD.",,Airlines,Yes,"'3156':{'combined description':'GO FLY, LTD.', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3157,airlines,,Airlines,Yes,"'3157':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3158,airlines,,Airlines,Yes,"'3158':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3159,PROVINCETOWN-BOSTON AIRWAYS (PBA) AIRLIN,PBA,Airlines,Yes,"'3159':{'combined description':'PROVINCETOWN-BOSTON AIRWAYS (PBA) AIRLIN', 'USDA description':'PBA','IRS Description':'Airlines', 'reportable':'Yes'},"
3160,airlines,,Airlines,Yes,"'3160':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3161,ALL NIPON AIRWAYS,ALL NIPPON AIRWAYS,Airlines,Yes,"'3161':{'combined description':'ALL NIPON AIRWAYS', 'USDA description':'ALL NIPPON AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3162,airlines,,Airlines,Yes,"'3162':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3163,airlines,,Airlines,Yes,"'3163':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3164,NORONTAIR,NORONTAIR,Airlines,Yes,"'3164':{'combined description':'NORONTAIR', 'USDA description':'NORONTAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3165,NEW YORK HELICOPTER,NEW YORK HELICOPTER,Airlines,Yes,"'3165':{'combined description':'NEW YORK HELICOPTER', 'USDA description':'NEW YORK HELICOPTER','IRS Description':'Airlines', 'reportable':'Yes'},"
3166,airlines,,Airlines,Yes,"'3166':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3167,AERO CONTINENTE - AERO CONT,,Airlines,Yes,"'3167':{'combined description':'AERO CONTINENTE - AERO CONT', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3168,airlines,,Airlines,Yes,"'3168':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3169,airlines,,Airlines,Yes,"'3169':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3170,MOUNT COOK,NOUNT COOK,Airlines,Yes,"'3170':{'combined description':'MOUNT COOK', 'USDA description':'NOUNT COOK','IRS Description':'Airlines', 'reportable':'Yes'},"
3171,CANADIAN AIRLINES INTERNATIONAL,CANADIAN AIRLINES INTERNATIONAL,Airlines,Yes,"'3171':{'combined description':'CANADIAN AIRLINES INTERNATIONAL', 'USDA description':'CANADIAN AIRLINES INTERNATIONAL','IRS Description':'Airlines', 'reportable':'Yes'},"
3172,NATIONAIR,NATIONAIR,Airlines,Yes,"'3172':{'combined description':'NATIONAIR', 'USDA description':'NATIONAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3173,airlines,,Airlines,Yes,"'3173':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3174,JETBLUE AIRLINES,,Airlines,Yes,"'3174':{'combined description':'JETBLUE AIRLINES', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3175,MIDDLE EAST AIR,,Airlines,Yes,"'3175':{'combined description':'MIDDLE EAST AIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3176,METROFLIGHT AIRLINES,METROFLIGHT AIRLINES,Airlines,Yes,"'3176':{'combined description':'METROFLIGHT AIRLINES', 'USDA description':'METROFLIGHT AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3177,AIRTRAN AIRWAYS - AIRTRAN A,,Airlines,Yes,"'3177':{'combined description':'AIRTRAN AIRWAYS - AIRTRAN A', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3178,MESA AIR,MESA AIR,Airlines,Yes,"'3178':{'combined description':'MESA AIR', 'USDA description':'MESA AIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3179,airlines,,Airlines,Yes,"'3179':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3180,WESTJETAIR,,Airlines,Yes,"'3180':{'combined description':'WESTJETAIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3181,MALEV AIR,MALEV,Airlines,Yes,"'3181':{'combined description':'MALEV AIR', 'USDA description':'MALEV','IRS Description':'Airlines', 'reportable':'Yes'},"
3182,LOT (POLISH AIRLINES),LOT (POLAND),Airlines,Yes,"'3182':{'combined description':'LOT (POLISH AIRLINES)', 'USDA description':'LOT (POLAND)','IRS Description':'Airlines', 'reportable':'Yes'},"
3183,OMANAIR,,Airlines,Yes,"'3183':{'combined description':'OMANAIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3184,LIAT,LIAT,Airlines,Yes,"'3184':{'combined description':'LIAT', 'USDA description':'LIAT','IRS Description':'Airlines', 'reportable':'Yes'},"
3185,LINEA AEROPOSTAL VENEZOLANA (LAV),LAV (VENEZUELA),Airlines,Yes,"'3185':{'combined description':'LINEA AEROPOSTAL VENEZOLANA (LAV)', 'USDA description':'LAV (VENEZUELA)','IRS Description':'Airlines', 'reportable':'Yes'},"
3186,LINEAS AEREAS PARAGUAYAS (LAP),LAP (PARAGUAY),Airlines,Yes,"'3186':{'combined description':'LINEAS AEREAS PARAGUAYAS (LAP)', 'USDA description':'LAP (PARAGUAY)','IRS Description':'Airlines', 'reportable':'Yes'},"
3187,LACSA AIR (COSTA RICA),LACSA (COSTA RICA),Airlines,Yes,"'3187':{'combined description':'LACSA AIR (COSTA RICA)', 'USDA description':'LACSA (COSTA RICA)','IRS Description':'Airlines', 'reportable':'Yes'},"
3188,VIRGINEXPAIR,,Airlines,Yes,"'3188':{'combined description':'VIRGINEXPAIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3189,airlines,,Airlines,Yes,"'3189':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3190,JUGOSLAV AIR,JUGOSLAV AIR,Airlines,Yes,"'3190':{'combined description':'JUGOSLAV AIR', 'USDA description':'JUGOSLAV AIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3191,ISLAND AIRLINES,ISLAND AIRLINES,Airlines,Yes,"'3191':{'combined description':'ISLAND AIRLINES', 'USDA description':'ISLAND AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3192,IRAN AIR,IRAN AIR,Airlines,Yes,"'3192':{'combined description':'IRAN AIR', 'USDA description':'IRAN AIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3193,INDIAN AIRLINES,INDIAN AIRLINES,Airlines,Yes,"'3193':{'combined description':'INDIAN AIRLINES', 'USDA description':'INDIAN AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3194,airlines,,Airlines,Yes,"'3194':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3195,HOLIDAY AIRLINES,,Airlines,Yes,"'3195':{'combined description':'HOLIDAY AIRLINES', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3196,HAWAIIAN AIR,HAWAIIAN AIR,Airlines,Yes,"'3196':{'combined description':'HAWAIIAN AIR', 'USDA description':'HAWAIIAN AIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3197,HAVASU AIRLINES,HAVASU AIRLINES,Airlines,Yes,"'3197':{'combined description':'HAVASU AIRLINES', 'USDA description':'HAVASU AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3198,HARBOR AIRLINES,,Airlines,Yes,"'3198':{'combined description':'HARBOR AIRLINES', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3199,SERVICIOS AEREOS MILITARES,,Airlines,Yes,"'3199':{'combined description':'SERVICIOS AEREOS MILITARES', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3200,GUYANA AIRWAYS,FUYANA AIRWAYS,Airlines,Yes,"'3200':{'combined description':'GUYANA AIRWAYS', 'USDA description':'FUYANA AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3201,airlines,,Airlines,Yes,"'3201':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3202,airlines,,Airlines,Yes,"'3202':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3203,GOLDEN PACIFIC AIR,GOLDEN PACIFIC AIR,Airlines,Yes,"'3203':{'combined description':'GOLDEN PACIFIC AIR', 'USDA description':'GOLDEN PACIFIC AIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3204,FREEDOM AIRLINES,FREEDOM AIR,Airlines,Yes,"'3204':{'combined description':'FREEDOM AIRLINES', 'USDA description':'FREEDOM AIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3205,airlines,,Airlines,Yes,"'3205':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3206,CHINA EASTERN AIRLINES - CHINAEAST,,Airlines,Yes,"'3206':{'combined description':'CHINA EASTERN AIRLINES - CHINAEAST', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3207,EMPRESA ECUATORIANA,,Airlines,Yes,"'3207':{'combined description':'EMPRESA ECUATORIANA', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3208,airlines,,Airlines,Yes,"'3208':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3209,airlines,,Airlines,Yes,"'3209':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3210,airlines,,Airlines,Yes,"'3210':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3211,NORWEGIAN AIR SHUTTLE - NORWEGIAN,,Airlines,Yes,"'3211':{'combined description':'NORWEGIAN AIR SHUTTLE - NORWEGIAN', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3212,DOMINICANA DE AVIACION,DOMINICANA,Airlines,Yes,"'3212':{'combined description':'DOMINICANA DE AVIACION', 'USDA description':'DOMINICANA','IRS Description':'Airlines', 'reportable':'Yes'},"
3213,MALMO AVIATION,,Airlines,Yes,"'3213':{'combined description':'MALMO AVIATION', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3214,airlines,,Airlines,Yes,"'3214':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3215,DAN AIR SERVICES,DAN AIR SERVICES,Airlines,Yes,"'3215':{'combined description':'DAN AIR SERVICES', 'USDA description':'DAN AIR SERVICES','IRS Description':'Airlines', 'reportable':'Yes'},"
3216,CUMBERLAND AIRLINES,CUMBERLAND AIRLINES,Airlines,Yes,"'3216':{'combined description':'CUMBERLAND AIRLINES', 'USDA description':'CUMBERLAND AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3217,CESKOSLOVENSKE AEROLINIE (CSA),CSA,Airlines,Yes,"'3217':{'combined description':'CESKOSLOVENSKE AEROLINIE (CSA)', 'USDA description':'CSA','IRS Description':'Airlines', 'reportable':'Yes'},"
3218,CROWN AIR,CROWN AIR,Airlines,Yes,"'3218':{'combined description':'CROWN AIR', 'USDA description':'CROWN AIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3219,COMPANIA PANAMENA DE AVIACION (COPA),COPA,Airlines,Yes,"'3219':{'combined description':'COMPANIA PANAMENA DE AVIACION (COPA)', 'USDA description':'COPA','IRS Description':'Airlines', 'reportable':'Yes'},"
3220,COMPANIA FAUCETT,COMPANIA FAUCETT,Airlines,Yes,"'3220':{'combined description':'COMPANIA FAUCETT', 'USDA description':'COMPANIA FAUCETT','IRS Description':'Airlines', 'reportable':'Yes'},"
3221,TRANSPORTES AEROS MILITARES ECUATORIANOS,TRANSPORTES AEROS MILITARES ECCUATORANOS,Airlines,Yes,"'3221':{'combined description':'TRANSPORTES AEROS MILITARES ECUATORIANOS', 'USDA description':'TRANSPORTES AEROS MILITARES ECCUATORANOS','IRS Description':'Airlines', 'reportable':'Yes'},"
3222,COMMAND AIRWAYS,COMMAND AIRWAYS,Airlines,Yes,"'3222':{'combined description':'COMMAND AIRWAYS', 'USDA description':'COMMAND AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3223,COMAIR,COMAIR,Airlines,Yes,"'3223':{'combined description':'COMAIR', 'USDA description':'COMAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3224,airlines,,Airlines,Yes,"'3224':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3225,airlines,,Airlines,Yes,"'3225':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3226,SKYWAYS AIR,,Airlines,Yes,"'3226':{'combined description':'SKYWAYS AIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3227,airlines,,Airlines,Yes,"'3227':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3228,CAYMAN AIRWAYS,CAYMAN AIRWAYS,Airlines,Yes,"'3228':{'combined description':'CAYMAN AIRWAYS', 'USDA description':'CAYMAN AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3229,SAETA (SOCIEDAD ECUATORIANOS DE TRANSPOR,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,Airlines,Yes,"'3229':{'combined description':'SAETA (SOCIEDAD ECUATORIANOS DE TRANSPOR', 'USDA description':'SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS','IRS Description':'Airlines', 'reportable':'Yes'},"
