Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
3083,AIR AFRIQUE - AIR AFRIQ,AIR AFRIGUE,Airlines,Yes,"'3083':{'combined description':'AIR AFRIQUE - AIR AFRIQ', 'USDA description':'AIR AFRIGUE','IRS Description':'Airlines', 'reportable':'Yes'},"
3084,EVA AIRLINES,EVA AIRLINES,Airlines,Yes,"'3084':{'combined description':'EVA AIRLINES', 'USDA description':'EVA AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3085,MIDWEST EXPRESS AIRLINES - MIDWEST,"MIDWEST EXPRESS AIRLINES, INC.",Airlines,Yes,"'3085':{'combined description':'MIDWEST EXPRESS AIRLINES - MIDWEST', 'USDA description':'MIDWEST EXPRESS AIRLINES, INC.','IRS Description':'Airlines', 'reportable':'Yes'},"
3086,CARNIVAL AIRLINES,,Airlines,Yes,"'3086':{'combined description':'CARNIVAL AIRLINES', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3087,METRO AIRLINES,METRO AIRLINES,Airlines,Yes,"'3087':{'combined description':'METRO AIRLINES', 'USDA description':'METRO AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3088,CROATIA AIR - CROATIA,CROATIA AIRLINES,Airlines,Yes,"'3088':{'combined description':'CROATIA AIR - CROATIA', 'USDA description':'CROATIA AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3089,TRANSAERO,TRANSAERO,Airlines,Yes,"'3089':{'combined description':'TRANSAERO', 'USDA description':'TRANSAERO','IRS Description':'Airlines', 'reportable':'Yes'},"
3090,UNI AIRWAYS,,Airlines,Yes,"'3090':{'combined description':'UNI AIRWAYS', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3091,airlines,,Airlines,Yes,"'3091':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3092,MIDWAY AIRLINES,,Airlines,Yes,"'3092':{'combined description':'MIDWAY AIRLINES', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3093,airlines,,Airlines,Yes,"'3093':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3094,ZAMBIA AIRWAYS,ZAMBIA AIRWAYS,Airlines,Yes,"'3094':{'combined description':'ZAMBIA AIRWAYS', 'USDA description':'ZAMBIA AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3095,WARDAIR,,Airlines,Yes,"'3095':{'combined description':'WARDAIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3096,AIR ZIMBABWE,AIR ZIMBABWE,Airlines,Yes,"'3096':{'combined description':'AIR ZIMBABWE', 'USDA description':'AIR ZIMBABWE','IRS Description':'Airlines', 'reportable':'Yes'},"
3097,SPANAIR,,Airlines,Yes,"'3097':{'combined description':'SPANAIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3098,ASIANA AIRLINES - ASIANA,,Airlines,Yes,"'3098':{'combined description':'ASIANA AIRLINES - ASIANA', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3099,CATHAY PACIFIC,CATHAY PACIFIC,Airlines,Yes,"'3099':{'combined description':'CATHAY PACIFIC', 'USDA description':'CATHAY PACIFIC','IRS Description':'Airlines', 'reportable':'Yes'},"
3100,MALAYSIAN AIRLINE SYSTEM,MALAYSIAN AIRLINE SYSTEM,Airlines,Yes,"'3100':{'combined description':'MALAYSIAN AIRLINE SYSTEM', 'USDA description':'MALAYSIAN AIRLINE SYSTEM','IRS Description':'Airlines', 'reportable':'Yes'},"
3101,airlines,,Airlines,Yes,"'3101':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3102,IBERIA,IBERIA,Airlines,Yes,"'3102':{'combined description':'IBERIA', 'USDA description':'IBERIA','IRS Description':'Airlines', 'reportable':'Yes'},"
3103,GARUDA AIR (INDONESIA),GARUDA (INDONESIA),Airlines,Yes,"'3103':{'combined description':'GARUDA AIR (INDONESIA)', 'USDA description':'GARUDA (INDONESIA)','IRS Description':'Airlines', 'reportable':'Yes'},"
3104,airlines,,Airlines,Yes,"'3104':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3105,PIEDMONT,,Airlines,Yes,"'3105':{'combined description':'PIEDMONT', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3106,BRAATHENS AIR S.A.F.E. (NORWAY),BRAATHENS S.A.F.E. (NORWAY),Airlines,Yes,"'3106':{'combined description':'BRAATHENS AIR S.A.F.E. (NORWAY)', 'USDA description':'BRAATHENS S.A.F.E. (NORWAY)','IRS Description':'Airlines', 'reportable':'Yes'},"
3107,airlines,,Airlines,Yes,"'3107':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3108,airlines,,Airlines,Yes,"'3108':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3109,airlines,,Airlines,Yes,"'3109':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3110,WINGS AIRWAYS,WINGS AIRWAYS,Airlines,Yes,"'3110':{'combined description':'WINGS AIRWAYS', 'USDA description':'WINGS AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3111,BRITISH MIDLAND,BRITISH MIDLAND,Airlines,Yes,"'3111':{'combined description':'BRITISH MIDLAND', 'USDA description':'BRITISH MIDLAND','IRS Description':'Airlines', 'reportable':'Yes'},"
3112,WINDWARD ISLAND,WINDWARD ISLAND,Airlines,Yes,"'3112':{'combined description':'WINDWARD ISLAND', 'USDA description':'WINDWARD ISLAND','IRS Description':'Airlines', 'reportable':'Yes'},"
3113,airlines,,Airlines,Yes,"'3113':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3114,airlines,,Airlines,Yes,"'3114':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3115,TOWER AIR,,Airlines,Yes,"'3115':{'combined description':'TOWER AIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3116,airlines,,Airlines,Yes,"'3116':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
